id,project,main_dep,tests_classes,test_src_dir,target_test,target_test_methods,target_class,input_class
avro-2944,avro,lang/java/avro/target/avro-1.11.0-SNAPSHOT-jar-with-dependencies.jar,lang/java/avro/target/test-classes,lang/java/avro/src/test/java,org.apache.avro.TestDataFileReader,testThrottledInputStream,org.apache.avro.file.DataFileReader,java.lang.String
choco-600,choco-solver,target/choco-solver-4.0.9-SNAPSHOT.jar,target/test-classes,src/test/java,org.chocosolver.solver.constraints.binary.ElementTestForAnalysis,improveElement1,org.chocosolver.solver.Model,int
cli-162,commons-cli,target/commons-cli-1.2-SNAPSHOT-jar-with-dependencies.jar,target/test-classes,src/test,org.apache.commons.cli.bug.BugCLI162TestForAnalysis,testInfiniteLoop,org.apache.commons.cli.HelpFormatter,java.lang.String
cli-164,commons-cli,target/commons-cli-1.2-SNAPSHOT-jar-with-dependencies.jar,target/test-classes,src/test,org.apache.commons.cli.PosixParserTest,testStop2,org.apache.commons.cli.CommandLine,java.lang.String
cli-265,commons-cli,target/commons-cli-1.4-SNAPSHOT-jar-with-dependencies.jar,target/test-classes,src/test/java,org.apache.commons.cli.bug.BugCLI265Test,shouldParseShortOptionWithValue,org.apache.commons.cli.CommandLine,java.lang.String
closure-compiler-1114,closure-compiler,target/closure-compiler-1.0-SNAPSHOT.jar,target/test-classes,test,com.google.javascript.jscomp.Es6RewriteDestructuringTest,testTypeCheck,com.google.common.base.Joiner,java.lang.String
closure-compiler-1857,closure-compiler,target/closure-compiler-1.0-SNAPSHOT.jar,target/test-classes,test,com.google.javascript.jscomp.NewTypeInferenceES5OrLowerTest,testMeetingWithTruthyFalsy,com.google.common.base.Joiner,java.lang.String
csv-93,commons-csv,target/commons-csv-1.0-SNAPSHOT-jar-with-dependencies.jar,target/test-classes,src/test/java,org.apache.commons.csv.CSVPrinterTest,testParseCustomNullValues,org.apache.commons.csv.CSVPrinter,java.lang.String
graphhopper-172,graphhopper,core/target/graphhopper-0.3-SNAPSHOT-jar-with-dependencies.jar,core/target/test-classes,core/src/test/java,com.graphhopper.routing.util.CarFlagEncoderTestForAnalysis,testMaxSpeed,com.graphhopper.routing.util.CarFlagEncoder,java.lang.String
jackson-databind-118,jackson-databind,target/jackson-databind-2.1.2-SNAPSHOT-jar-with-dependencies.jar,target/test-classes,src/test/java,com.fasterxml.jackson.databind.jsontype.TestExternalIdForAnalysis,testWithScalar118,com.fasterxml.jackson.databind.ObjectMapper,java.util.Date
